genres,popularity,vote_average,spoken_languages
"Adventure, Action, Science Fiction",42.149697,8.1,English
"Adventure, Action, Science Fiction",19.470959,8.2,English
"Adventure, Action, Science Fiction",14.586087,7.9,English
"Adventure, Action, Science Fiction",15.649091,6.4,English
"Adventure, Action, Science Fiction",14.072511,6.4,English
"Science Fiction, Adventure, Action",13.165421,7.1,English
"Action, Adventure, Science Fiction, Fantasy",31.626013,7.5,English
"Action, Adventure, Science Fiction",36.567575,7.4,English
"Drama, History",7.566321,7.2,"Français, English"
"Drama, History, Romance",7.608243,6.6,"svenska, English, Español"
"Comedy, Science Fiction",1.12808,6.8,English
Comedy,0.871762,6.4,
"Science Fiction, Comedy, Crime",11.749159,6.5,English
"Adventure, Comedy, Crime, Science Fiction",13.984182,6.1,"Deutsch, English"
"Comedy, Crime, Science Fiction",8.786653,5.9,"English, 日本語, Deutsch, Français"
"Adventure, Animation, Comedy, Family",15.727519,6.8,English
"Animation, Family",10.398905,5.7,English
"Animation, Family, Adventure, Science Fiction",10.901602,6.7,"English, Français, Español"
"Fantasy, Animation, Science Fiction, Family, Action",7.751536,5.4,English
"Adventure, Animation, Drama, Family",10.197106,7.0,English
"Adventure, Animation, Comedy, Family",7.432461,5.6,English
"Action, Adventure, Drama, Family",0.70993,3.8,English
"Drama, Family",0.37161,0.0,English
"Adventure, Drama, Action, Thriller, Romance",6.415721,6.5,"日本語, Português"
Action,6.754744,6.4,"日本語, Português"
Comedy,3.172765,6.8,English
"Comedy, Crime",3.093829,7.0,English
Comedy,2.158798,7.4,English
Comedy,1.335959,6.6,English
Comedy,0.658229,7.6,English
"Comedy, Horror",6.606325,5.8,English
"Comedy, Horror",6.258984,7.3,English
"Comedy, Science Fiction, Romance, Horror",9.796755,5.9,"Český, English, Italiano"
"Comedy, Horror",8.195958,3.7,"English, Deutsch"
"Comedy, Horror",8.186979,4.3,"English, Deutsch"
"Action, Comedy, Crime",0.944547,6.2,suomi
"Action, Comedy, Crime",0.634341,6.3,suomi
"Action, Crime",1.27935,6.2,suomi
"Action, Crime",0.562559,5.9,suomi
"Crime, Drama, Thriller",0.592993,5.7,suomi
Crime,0.676424,5.3,suomi
"Crime, Action",0.890978,5.7,"English, suomi"
"Action, Comedy",1.787893,6.1,한국어/조선말
"Action, Comedy",1.464944,6.4,한국어/조선말
Comedy,6.693055,6.2,"日本語, 普通话, العربية, English"
"Action, Comedy",5.305197,5.4,English
"Action, Comedy",2.806926,4.1,"English, Deutsch"
"Animation, Comedy, Family",21.946943,7.7,English
"Animation, Comedy, Family",17.547693,7.3,English
"Animation, Family, Comedy",16.96647,7.6,"English, Español"
"Comedy, Romance",5.978211,5.2,"English, Pусский"
Comedy,2.066138,5.2,"English, Español"
"Fantasy, Mystery, Thriller",9.570657,6.8,"English, 日本語, Pусский"
"Fantasy, Thriller, Mystery",5.082787,6.7,"日本語, Polski"
"Fantasy, Action, Thriller, Science Fiction, Mystery",8.271179,5.9,日本語
"Drama, Action",1.839717,7.1,日本語
"Action, Drama",2.492024,7.3,日本語
"Drama, Action",1.645563,6.7,日本語
"Action, Foreign",1.609864,6.9,日本語
"Action, Foreign",2.11191,7.1,日本語
